model,dataset,method,id,true_label,true_cwe,true_lines,pred_label,pred_cwe,pred_lines,retrieved_mistake_ids,retrieved_scores,retrieved_error_types,retrieved_true_cwes,retrieved_pred_cwes,raw
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,770-1,1,770,[68],0,,[],"[""822-10"", ""617-10"", ""770-10""]","[0.6062619996719603, 0.5986038457979899, 0.4813345289955305]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(822), np.int64(617), np.int64(770)]""","[190.0, 680.0, 680.0]","```json
[]
```"
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,674-9,0,674,[],0,,[],"[""362-9"", ""617-4"", ""787-7""]","[0.4327842715062264, 0.3673895728756235, 0.3011163400763133]","[""false_positive"", ""false_negative"", ""false_positive""]","""[np.int64(362), np.int64(617), np.int64(787)]""","[680.0, NaN, 680.0]","```json
[]
```"
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,78-6,1,78,[29],1,78.0,"[14, 15]","[""78-8"", ""78-10"", ""617-4""]","[0.9365736107553746, 0.5837942584714241, 0.3068533302920612]","[""false_positive"", ""false_positive"", ""false_negative""]","""[np.int64(78), np.int64(78), np.int64(617)]""","[78.0, 78.0, NaN]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 14,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of strcpy and strcat without proper validation."",
        ""line_content"": ""strcpy(sys, cmd);""
    },
    {
        ""severity"": ""Medium"",
        ""line"": 15,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of strcpy and strcat without proper validation."",
        ""line_content"": ""strcat(sys, buff);""
    }
]
```"
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,134-9,0,134,[],1,114.0,[5],"[""134-8"", ""134-7"", ""253-8""]","[0.7057088839616655, 0.5287956638625021, 0.38645823513789285]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(134), np.int64(134), np.int64(253)]""","[89.0, 89.0, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 5,
        ""cwe"": 114,
        ""message"": ""Buffer overflow due to use of snprintf without proper bounds checking."",
        ""line_content"": ""snprintf(buffer, sizeof(buffer), \""%s\"", argv[1]);""
    }
]
```"
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,822-4,1,822,"[20, 25, 29, 35]",0,,[],"[""362-5"", ""253-8"", ""22-10""]","[0.4501527375285801, 0.4403033581628663, 0.41417094727004616]","[""false_negative"", ""false_positive"", ""false_positive""]","""[np.int64(362), np.int64(253), np.int64(22)]""","[NaN, 78.0, 78.0]","```json
[]
```"
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,327-10,0,327,[],0,,[],"[""798-9"", ""253-8"", ""798-1""]","[0.6346617401047883, 0.43279743780419566, 0.36428919412939803]","[""false_positive"", ""false_positive"", ""false_negative""]","""[np.int64(798), np.int64(253), np.int64(798)]""","[327.0, 78.0, NaN]","```json
[]
```"
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,835-7,0,835,[],0,,[],"[""835-1"", ""835-2"", ""190-4""]","[0.8557538205235132, 0.5722225143753029, 0.22558491134327668]","[""false_negative"", ""false_negative"", ""false_negative""]","""[np.int64(835), np.int64(835), np.int64(190)]""","[NaN, NaN, NaN]","```json
[]
```"
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,522-7,0,522,[],1,89.0,"[44, 54, 60]","[""522-10"", ""628-4"", ""89-10""]","[0.7189124477860405, 0.6109353485623117, 0.4674219722851216]","[""false_positive"", ""false_negative"", ""false_positive""]","""[np.int64(522), np.int64(628), np.int64(89)]""","[89.0, NaN, 89.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 44,
        ""cwe"": 89,
        ""message"": ""SQL Injection vulnerability due to direct use of user input in SQL query."",
        ""line_content"": ""const char *sql = \""INSERT INTO users (username, password) VALUES (?, ?);\"";""
    },
    {
        ""severity"": ""Medium"",
        ""line"": 54,
        ""cwe"": 628,
        ""message"": ""Potential buffer overflow in 'fgets' call due to lack of bounds checking."",
        ""line_content"": ""fgets(username, sizeof(username), stdin);""
    },
    {
        ""severity"": ""Medium"",
        ""line"": 60,
        ""cwe"": 628,
        ""message"": ""Potential buffer overflow in 'fgets' call due to lack of bounds checking."",
        ""line_content"": ""fgets(password, sizeof(password), stdin);""
    }
]
```"
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,22-7,0,22,[],0,,[],"[""22-10"", ""22-9"", ""253-8""]","[0.6477267483073055, 0.5944305678598019, 0.4898601449356517]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(22), np.int64(22), np.int64(253)]""","[78.0, 78.0, 78.0]","```json
[]
```"
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,522-3,1,522,"[112, 123]",0,,[],"[""522-8"", ""253-8"", ""362-5""]","[0.30682169671248566, 0.30419464943506114, 0.26241320830313997]","[""false_positive"", ""false_positive"", ""false_negative""]","""[np.int64(522), np.int64(253), np.int64(362)]""","[89.0, 78.0, NaN]","```json
[]
```"
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,617-7,0,617,[],0,,[],"[""617-10"", ""822-10"", ""770-10""]","[0.9792887973677817, 0.9600283987555994, 0.33236589545601325]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(617), np.int64(822), np.int64(770)]""","[680.0, 190.0, 680.0]","```json
[]
```"
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,843-3,1,843,"[6, 11]",1,190.0,[6],"[""134-8"", ""253-8"", ""770-10""]","[0.4718065617631956, 0.3233092491356538, 0.24541564430811164]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(134), np.int64(253), np.int64(770)]""","[89.0, 78.0, 680.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 6,
        ""cwe"": 190,
        ""message"": ""Buffer overflow detected. The buffer 'buffer' has a size of 8 bytes, but 'strcpy' writes more than 8 bytes including the null terminator."",
        ""line_content"": ""strcpy(buffer, \""!\"");""
    }
]
```"
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,89-9,0,89,[],1,89.0,[42],"[""522-9"", ""89-8"", ""369-3""]","[0.6303302434126558, 0.5531556723257532, 0.3671004485542565]","[""false_positive"", ""false_positive"", ""false_negative""]","""[np.int64(522), np.int64(89), np.int64(369)]""","[89.0, 89.0, NaN]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 42,
        ""cwe"": 89,
        ""message"": ""SQL Injection vulnerability due to use of user-supplied input in SQL query without proper sanitization."",
        ""line_content"": ""sprintf(query, fmtString, param_escaped);""
    }
]
```"
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,787-3,1,787,[18],1,114.0,[11],"[""134-7"", ""787-7"", ""787-10""]","[0.3720649400069262, 0.34912742817771464, 0.29400684024401114]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(134), np.int64(787), np.int64(787)]""","[89.0, 680.0, 190.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 11,
        ""cwe"": 114,
        ""message"": ""Buffer overflow due to fixed-size buffer 'OSusername' being used with 'strcpy'."",
        ""line_content"": ""strcpy(OSusername,user);""
    }
]
```"
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,362-2,1,362,"[9, 17]",0,,[],"[""362-10"", ""362-5"", ""253-8""]","[0.9673053302360939, 0.39093555078982567, 0.24544060547580165]","[""false_positive"", ""false_negative"", ""false_positive""]","""[np.int64(362), np.int64(362), np.int64(253)]""","[190.0, NaN, 78.0]","```json
[]
```"
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,761-3,1,761,[23],0,,[],"[""787-7"", ""761-8"", ""787-10""]","[0.7534920592869812, 0.7249548670899982, 0.5865461707331151]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(787), np.int64(761), np.int64(787)]""","[680.0, 415.0, 190.0]","```json
[]
```"
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,125-5,1,125,"[9, 11]",1,190.0,[6],"[""125-9"", ""617-4"", ""787-7""]","[0.6911872969195836, 0.6845247113358556, 0.6778420890131451]","[""false_positive"", ""false_negative"", ""false_positive""]","""[np.int64(125), np.int64(617), np.int64(787)]""","[190.0, NaN, 680.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 6,
        ""cwe"": 190,
        ""message"": ""Array index out of bounds access."",
        ""line_content"": ""printf(\""%d, \"", a[i]);""
    }
]
```"
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,835-6,1,835,[13],0,,[],"[""835-2"", ""415-7"", ""415-8""]","[0.7854103013595732, 0.6245309938318656, 0.6206643387335998]","[""false_negative"", ""false_positive"", ""false_positive""]","""[np.int64(835), np.int64(415), np.int64(415)]""","[NaN, 68.0, 68.0]","```json
[]
```"
