model,dataset,method,id,true_label,true_cwe,true_lines,pred_label,pred_cwe,pred_lines,retrieved_mistake_ids,retrieved_scores,retrieved_error_types,retrieved_true_cwes,retrieved_pred_cwes,raw
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,22-1,1,22,"[16, 19]",1,22.0,[10],"[""22-10"", ""253-8"", ""362-5""]","[0.9851617551143723, 0.4575822614949081, 0.3378365886203529]","[""false_positive"", ""false_positive"", ""false_negative""]","""[np.int64(22), np.int64(253), np.int64(362)]""","[78.0, 78.0, NaN]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 10,
        ""cwe"": 22,
        ""message"": ""Potential directory traversal vulnerability due to use of user-supplied input in path construction."",
        ""line_content"": ""snprintf(file_name_buffer, sizeof(file_name_buffer), \""%s/%s\"", public_root, argv[1]);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,22-2,1,22,"[8, 20, 29]",0,,[],"[""22-10"", ""22-9"", ""22-8""]","[0.9219811478854043, 0.43135544993344, 0.41322553366284615]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(22), np.int64(22), np.int64(22)]""","[78.0, 78.0, 78.0]","```json
[]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,22-3,1,22,"[12, 23, 32]",0,,[],"[""22-10"", ""22-9"", ""253-8""]","[0.8752561482882754, 0.45316339410132467, 0.38430201022429156]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(22), np.int64(22), np.int64(253)]""","[78.0, 78.0, 78.0]","```json
[]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,22-4,1,22,"[46, 66, 70]",1,78.0,[24],"[""22-8"", ""22-9"", ""78-7""]","[0.9959577925208735, 0.8557401200894563, 0.3715722419648261]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(22), np.int64(22), np.int64(78)]""","[78.0, 78.0, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 24,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of user-supplied input in the construction of the 'command' buffer."",
        ""line_content"": ""snprintf(command, sizeof(command), \""grep %s %s\"", argv[2], path);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,22-5,1,22,"[8, 28]",0,,[],"[""253-8"", ""22-10"", ""134-9""]","[0.6238937614710981, 0.5332220452695815, 0.4643607958737927]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(253), np.int64(22), np.int64(134)]""","[78.0, 78.0, 190.0]","```json
[]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,22-6,1,22,"[10, 49]",1,190.0,"[14, 15]","[""787-7"", ""476-7"", ""787-10""]","[0.4900973596041356, 0.4869647224810821, 0.4721468171204652]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(787), np.int64(476), np.int64(787)]""","[680.0, 680.0, 190.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 14,
        ""cwe"": 190,
        ""message"": ""Buffer overflow detected due to lack of bounds checking on strncpy."",
        ""line_content"": ""strncpy(fileNames[i], argv[i+1], 255);""
    },
    {
        ""severity"": ""Medium"",
        ""line"": 15,
        ""cwe"": 0,
        ""message"": ""Potential off-by-one error in buffer handling."",
        ""line_content"": ""fileNames[255] = '\\0'; // ensuring null termination""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,22-7,0,22,[],0,,[],"[""22-10"", ""22-9"", ""253-8""]","[0.6376758000987464, 0.5919445103014923, 0.48961709782140117]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(22), np.int64(22), np.int64(253)]""","[78.0, 78.0, 78.0]","```json
[]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,22-8,0,22,[],1,78.0,[24],"[""22-8"", ""22-9"", ""78-7""]","[0.9966967139087143, 0.8634955121206687, 0.36559817407841405]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(22), np.int64(22), np.int64(78)]""","[78.0, 78.0, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 24,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of user-supplied input in the construction of the 'command' buffer."",
        ""line_content"": ""snprintf(command, sizeof(command), \""grep %s %s\"", argv[2], path);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,22-9,0,22,[],1,78.0,[27],"[""22-9"", ""22-8"", ""22-10""]","[0.996531459567421, 0.8642651586556981, 0.3494594250945716]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(22), np.int64(22), np.int64(22)]""","[78.0, 78.0, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of user-supplied input in the 'command' variable."",
        ""line_content"": ""snprintf(command, sizeof(command), \""grep %s %s\"", argv[2], path);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,22-10,0,22,[],1,22.0,[16],"[""22-10"", ""253-8"", ""22-9""]","[0.9902111809961511, 0.4530220288091162, 0.3496838908185369]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(22), np.int64(253), np.int64(22)]""","[78.0, 78.0, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 16,
        ""cwe"": 22,
        ""message"": ""Potential directory traversal vulnerability due to use of user-supplied input in path construction."",
        ""line_content"": ""snprintf(file_name_buffer, sizeof(file_name_buffer), \""%s/%s\"", public_root, argv[1]);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,78-1,1,78,"[13, 16]",1,78.0,[10],"[""78-7"", ""22-9"", ""22-8""]","[0.3402154305368896, 0.2959488841968152, 0.2851881141691116]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(78), np.int64(22), np.int64(22)]""","[78.0, 78.0, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 10,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of user-supplied input in the 'snprintf' function."",
        ""line_content"": ""snprintf(command, sizeof(command), \""ping %s\"", ip);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,78-2,1,78,"[9, 10]",1,78.0,[6],"[""78-8"", ""134-7"", ""78-10""]","[0.3641577274505003, 0.31974707177213507, 0.29272060093310864]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(78), np.int64(134), np.int64(78)]""","[78.0, 89.0, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 6,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of `strncat` with user input."",
        ""line_content"": ""strncat(cmd, argv[1], CMD_MAX - 14);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,78-3,1,78,"[23, 25]",1,78.0,"[16, 17]","[""22-9"", ""22-8"", ""134-7""]","[0.4107095426024762, 0.39750019891746957, 0.33316359746317226]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(22), np.int64(22), np.int64(134)]""","[78.0, 78.0, 89.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 16,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of `strncpy` followed by `strncat` without proper bounds checking."",
        ""line_content"": ""strncpy(command, cat, commandLength);""
    },
    {
        ""severity"": ""High"",
        ""line"": 17,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of `strncpy` followed by `strncat` without proper bounds checking."",
        ""line_content"": ""strncat(command, argv[1], (commandLength - strlen(cat)));""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,78-4,1,78,"[11, 12]",1,78.0,[7],"[""78-7"", ""22-9"", ""22-8""]","[0.7783688523154493, 0.24466654107445204, 0.23363711822583275]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(78), np.int64(22), np.int64(22)]""","[78.0, 78.0, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 7,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of user input in a shell command."",
        ""line_content"": ""snprintf(command, sizeof(command), \""ls -l | head -n %s\"", userInput);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,78-5,1,78,[10],1,78.0,[16],"[""78-8"", ""78-10"", ""78-9""]","[0.8305491393337054, 0.5921204019003453, 0.2940374415555049]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(78), np.int64(78), np.int64(78)]""","[78.0, 78.0, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 16,
        ""cwe"": 78,
        ""message"": ""Potential command injection vulnerability due to use of strcpy and strcat."",
        ""line_content"": ""strcpy(sys, cmd);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,78-6,1,78,[29],1,78.0,"[14, 15]","[""78-8"", ""78-10"", ""617-4""]","[0.936036645817526, 0.5775301430482126, 0.3034700077679248]","[""false_positive"", ""false_positive"", ""false_negative""]","""[np.int64(78), np.int64(78), np.int64(617)]""","[78.0, 78.0, NaN]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 14,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of strcpy and strcat without proper validation."",
        ""line_content"": ""strcpy(sys, cmd);""
    },
    {
        ""severity"": ""Medium"",
        ""line"": 15,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of strcpy and strcat without proper validation."",
        ""line_content"": ""strcat(sys, buff);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,78-7,0,78,[],1,78.0,[14],"[""78-7"", ""22-8"", ""22-9""]","[0.9904666558937021, 0.3676477375328093, 0.2893404859305151]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(78), np.int64(22), np.int64(22)]""","[78.0, 78.0, 78.0]","```json
[
    {
        ""severity"": ""Medium"",
        ""line"": 14,
        ""cwe"": 78,
        ""message"": ""Potential Command Injection via 'numFiles'"",
        ""line_content"": ""snprintf(command, sizeof(command), \""ls -l | head -n %d\"", numFiles);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,78-8,0,78,[],1,78.0,"[11, 12]","[""78-8"", ""78-10"", ""617-4""]","[0.9868095279300698, 0.5818295632734748, 0.30791432370246663]","[""false_positive"", ""false_positive"", ""false_negative""]","""[np.int64(78), np.int64(78), np.int64(617)]""","[78.0, 78.0, NaN]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 11,
        ""cwe"": 78,
        ""message"": ""Potential command injection vulnerability due to use of user-supplied input in system call."",
        ""line_content"": ""strcpy(sys, cmd);""
    },
    {
        ""severity"": ""Medium"",
        ""line"": 12,
        ""cwe"": 78,
        ""message"": ""Potential command injection vulnerability due to use of user-supplied input in system call."",
        ""line_content"": ""strcat(sys, buff);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,78-9,0,78,[],1,78.0,[14],"[""78-9"", ""761-1"", ""798-8""]","[0.9854598422503076, 0.4598547157649526, 0.2828417448789822]","[""false_positive"", ""false_negative"", ""false_positive""]","""[np.int64(78), np.int64(761), np.int64(798)]""","[78.0, NaN, 89.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 14,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of system() with untrusted input."",
        ""line_content"": ""snprintf(buf, sizeof buf, \""/bin/echo %s\"", str);""
    }
]
```"
