model,dataset,method,id,true_label,true_cwe,true_lines,pred_label,pred_cwe,pred_lines,raw
qwen25_coder_7b,CASTLE_all_250,baseline,22-1,1,22,"[16, 19]",1.0,78.0,[16],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 16,
        ""cwe"": 78,
        ""message"": ""Potential directory traversal vulnerability due to use of user-supplied input in file path."",
        ""line_content"": ""snprintf(file_name_buffer, sizeof(file_name_buffer), \""%s/%s\"", public_root, argv[1]);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,baseline,22-2,1,22,"[8, 20, 29]",1.0,78.0,"[16, 29]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 16,
        ""cwe"": 78,
        ""message"": ""Potential Path Traversal vulnerability due to use of user-supplied input in file path construction."",
        ""line_content"": ""snprintf(file_name_buffer, sizeof(file_name_buffer), \""%s/%s\"", public_root, argv[1]);""
    },
    {
        ""severity"": ""Medium"",
        ""line"": 29,
        ""cwe"": 400,
        ""message"": ""File handling error can lead to resource leaks if the file cannot be opened."",
        ""line_content"": ""FILE *file = fopen(file_name_buffer, \""r\"");""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,baseline,22-3,1,22,"[12, 23, 32]",1.0,88.0,"[17, 26]","```json
[
    {
        ""severity"": ""Medium"",
        ""line"": 17,
        ""cwe"": 88,
        ""message"": ""The program uses `snprintf` to construct a filename from user input without proper validation or sanitization, which can lead to directory traversal attacks."",
        ""line_content"": ""snprintf(file_name_buffer, sizeof(file_name_buffer), \""%s/%s\"", public_root, argv[1]);""
    },
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 94,
        ""message"": ""The program reads a file without checking its permissions, which could allow unauthorized access to sensitive files."",
        ""line_content"": ""FILE *file = fopen(file_name_buffer, \""r\"");""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,baseline,22-4,1,22,"[46, 66, 70]",1.0,78.0,"[27, 29]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of user-supplied input in the construction of the 'command' buffer."",
        ""line_content"": ""snprintf(command, sizeof(command), \""grep %s %s\"", argv[2], path);""
    },
    {
        ""severity"": ""Medium"",
        ""line"": 29,
        ""cwe"": 250,
        ""message"": ""Potential buffer overflow in 'path' array due to lack of bounds checking when constructing the full path."",
        ""line_content"": ""snprintf(path, sizeof(path), \""%s/%s\"", public_root, argv[1]);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,baseline,22-5,1,22,"[8, 28]",1.0,78.0,[16],"```json
[
    {
        ""severity"": ""Medium"",
        ""line"": 16,
        ""cwe"": 78,
        ""message"": ""The program uses fscanf without validating the input length, which can lead to buffer overflow."",
        ""line_content"": ""if (argc > 1)""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,baseline,22-6,1,22,"[10, 49]",1.0,190.0,"[27, 28]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 190,
        ""message"": ""Buffer overflow detected due to lack of bounds checking when copying strings into 'fileNames'."",
        ""line_content"": ""strncpy(fileNames[i], argv[i+1], 255);""
    },
    {
        ""severity"": ""Medium"",
        ""line"": 28,
        ""cwe"": 190,
        ""message"": ""Potential buffer overflow if the input string exceeds 255 characters."",
        ""line_content"": ""strncpy(fileNames[i], argv[i+1], 255);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,baseline,22-7,0,22,[],0.0,,[],"```json
[]
```"
qwen25_coder_7b,CASTLE_all_250,baseline,22-8,0,22,[],1.0,78.0,"[27, 29]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of user-supplied input in the construction of the 'command' buffer."",
        ""line_content"": ""snprintf(command, sizeof(command), \""grep %s %s\"", argv[2], path);""
    },
    {
        ""severity"": ""Medium"",
        ""line"": 29,
        ""cwe"": 250,
        ""message"": ""Potential buffer overflow in 'path' array due to lack of bounds checking when constructing the full path."",
        ""line_content"": ""snprintf(path, sizeof(path), \""%s/%s\"", public_root, argv[1]);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,baseline,22-9,0,22,[],1.0,78.0,"[29, 36]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 36,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of user-supplied input in the construction of the 'command' buffer."",
        ""line_content"": ""snprintf(command, sizeof(command), \""grep %s %s\"", argv[2], path);""
    },
    {
        ""severity"": ""Medium"",
        ""line"": 29,
        ""cwe"": 22,
        ""message"": ""Potential directory traversal vulnerability due to lack of proper validation of the 'filename' parameter."",
        ""line_content"": ""if (!is_valid_path(path, public_root)) {""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,baseline,22-10,0,22,[],1.0,78.0,"[16, 21]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 16,
        ""cwe"": 78,
        ""message"": ""Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"",
        ""line_content"": ""snprintf(file_name_buffer, sizeof(file_name_buffer), \""%s/%s\"", public_root, argv[1]);""
    },
    {
        ""severity"": ""Medium"",
        ""line"": 21,
        ""cwe"": 494,
        ""message"": ""Insecure Function Usage: Use of potentially dangerous function 'fopen'"",
        ""line_content"": ""FILE *file = fopen(file_name_buffer, \""r\"");""
    }
]
```"
