model,dataset,method,id,true_label,true_cwe,true_lines,pred_label,pred_cwe,pred_lines,retrieved_mistake_ids,retrieved_scores,retrieved_error_types,retrieved_true_cwes,retrieved_pred_cwes,raw
qwen25_coder_7b,Juliet_overlap_250,F_errorlock_from_castle,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s03/CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_wchar_t_ncat_08.cpp::good,0,134,[],0,,[],"[""253-8"", ""134-9"", ""401-10""]","[0.3530922983081263, 0.28380587717562983, 0.25217867873759814]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(253), np.int64(134), np.int64(401)]""","[78.0, 190.0, 416.0]","```json
[]
```"
qwen25_coder_7b,Juliet_overlap_250,F_errorlock_from_castle,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s03/CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_wchar_t_ncat_08.cpp::bad,1,134,[],1,122.0,[28],"[""253-10"", ""253-4"", ""134-9""]","[0.45680779240783304, 0.40347920195482156, 0.22554637949695092]","[""false_positive"", ""false_negative"", ""false_positive""]","""[np.int64(253), np.int64(253), np.int64(134)]""","[78.0, NaN, 190.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 28,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to insufficient bounds checking when copying data into 'data' using wcsncat."",
        ""line_content"": ""wcsncat(data, source, 100);""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,F_errorlock_from_castle,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_loop_31.c::good,0,125,[],1,122.0,[24],"[""253-8"", ""253-4"", ""253-10""]","[0.28538517503734684, 0.28521816936075434, 0.2476360479331524]","[""false_positive"", ""false_negative"", ""false_positive""]","""[np.int64(253), np.int64(253), np.int64(253)]""","[78.0, NaN, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 24,
        ""cwe"": 122,
        ""message"": ""Heap-based buffer overflow due to insufficient allocation for the string."",
        ""line_content"": ""char *data = (char *)malloc(10);""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,F_errorlock_from_castle,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_loop_31.c::bad,1,125,[],1,122.0,"[24, 32]","[""253-10"", ""253-4"", ""787-7""]","[0.4403058786079456, 0.4300010653476929, 0.2390222590072141]","[""false_positive"", ""false_negative"", ""false_positive""]","""[np.int64(253), np.int64(253), np.int64(787)]""","[78.0, NaN, 680.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 24,
        ""cwe"": 122,
        ""message"": ""Heap-based buffer overflow due to insufficient allocation for the null terminator."",
        ""line_content"": ""data = (char *)malloc(10*sizeof(char));""
    },
    {
        ""severity"": ""High"",
        ""line"": 32,
        ""cwe"": 122,
        ""message"": ""Heap-based buffer overflow due to copying more data than allocated."",
        ""line_content"": ""for (i = 0; i < sourceLen + 1; i++)""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,F_errorlock_from_castle,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_memcpy_53d.c::good,0,125,[],1,122.0,[24],"[""253-4"", ""253-10"", ""253-8""]","[0.3917991040137312, 0.35462873648191084, 0.1916194653142992]","[""false_negative"", ""false_positive"", ""false_positive""]","""[np.int64(253), np.int64(253), np.int64(253)]""","[NaN, 78.0, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 24,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to insufficient allocation for the destination buffer."",
        ""line_content"": ""memcpy(data, source, (strlen(source) + 1) * sizeof(char));""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,F_errorlock_from_castle,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_memcpy_53d.c::bad,1,125,[],1,122.0,[24],"[""253-4"", ""253-10"", ""253-8""]","[0.40334112225984353, 0.36507575207009996, 0.19726438727126833]","[""false_negative"", ""false_positive"", ""false_positive""]","""[np.int64(253), np.int64(253), np.int64(253)]""","[NaN, 78.0, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 24,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to insufficient allocation size."",
        ""line_content"": ""memcpy(data, source, (strlen(source) + 1) * sizeof(char));""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,F_errorlock_from_castle,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE129_rand_54e.c::good,0,125,[],0,,[],"[""415-9"", ""134-9"", ""787-7""]","[0.45108827316698064, 0.3304373673880852, 0.28881616096323437]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(415), np.int64(134), np.int64(787)]""","[190.0, 190.0, 680.0]","```json
[]
```"
qwen25_coder_7b,Juliet_overlap_250,F_errorlock_from_castle,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE129_rand_54e.c::bad,1,125,[],1,122.0,[22],"[""415-9"", ""134-9"", ""253-8""]","[0.42336306875518376, 0.2657455090482593, 0.25574466062221346]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(415), np.int64(134), np.int64(253)]""","[190.0, 190.0, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 22,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to improper bounds checking."",
        ""line_content"": ""if (data >= 0)""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,F_errorlock_from_castle,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s03/CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_class_memcpy_65b.cpp::good,0,134,[],1,122.0,[26],"[""253-10"", ""253-4"", ""253-8""]","[0.4766457140408214, 0.3886656934218075, 0.25934923973478746]","[""false_positive"", ""false_negative"", ""false_positive""]","""[np.int64(253), np.int64(253), np.int64(253)]""","[78.0, NaN, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to insufficient bounds checking when copying data."",
        ""line_content"": ""memcpy(data, source, 100*sizeof(TwoIntsClass));""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,F_errorlock_from_castle,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s03/CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_class_memcpy_65b.cpp::bad,1,134,[],1,122.0,[26],"[""253-10"", ""253-4"", ""253-8""]","[0.4793361017888027, 0.3908594851393035, 0.2608131153062585]","[""false_positive"", ""false_negative"", ""false_positive""]","""[np.int64(253), np.int64(253), np.int64(253)]""","[78.0, NaN, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to insufficient bounds checking when copying data."",
        ""line_content"": ""memcpy(data, source, 100*sizeof(TwoIntsClass));""
    }
]
```"
