model,dataset,method,id,true_label,true_cwe,true_lines,pred_label,pred_cwe,pred_lines,raw
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s03/CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_wchar_t_ncat_08.cpp::good,0,134,[],0.0,,[],"```json
[]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s03/CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_wchar_t_ncat_08.cpp::bad,1,134,[],1.0,190.0,[36],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 36,
        ""cwe"": 190,
        ""message"": ""Potential buffer overflow due to wcsncat usage."",
        ""line_content"": ""wcsncat(data, source, 100);""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_loop_31.c::good,0,125,[],1.0,122.0,[26],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 122,
        ""message"": ""Heap-based buffer overflow due to insufficient allocation for the string."",
        ""line_content"": ""char *data = (char *)malloc(10);""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_loop_31.c::bad,1,125,[],1.0,122.0,"[26, 37]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 122,
        ""message"": ""Heap-based buffer overflow due to insufficient allocation for the null terminator."",
        ""line_content"": ""data = (char *)malloc(10*sizeof(char));""
    },
    {
        ""severity"": ""High"",
        ""line"": 37,
        ""cwe"": 122,
        ""message"": ""Heap-based buffer overflow due to copying more data than allocated."",
        ""line_content"": ""for (i = 0; i < sourceLen + 1; i++)""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_memcpy_53d.c::good,0,125,[],1.0,122.0,[26],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to insufficient allocation for the destination buffer."",
        ""line_content"": ""memcpy(data, source, (strlen(source) + 1) * sizeof(char));""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_memcpy_53d.c::bad,1,125,[],1.0,122.0,[26],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to insufficient allocation size."",
        ""line_content"": ""memcpy(data, source, (strlen(source) + 1) * sizeof(char));""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE129_rand_54e.c::good,0,125,[],1.0,122.0,"[27, 36]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to improper bounds checking."",
        ""line_content"": ""if (data >= 0)""
    },
    {
        ""severity"": ""High"",
        ""line"": 36,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to improper bounds checking."",
        ""line_content"": ""if (data >= 0 && data < (10))""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE129_rand_54e.c::bad,1,125,[],1.0,122.0,[26],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to improper bounds checking."",
        ""line_content"": ""if (data >= 0)""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s03/CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_class_memcpy_65b.cpp::good,0,134,[],1.0,190.0,[27],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 190,
        ""message"": ""Potential buffer overflow due to insufficient bounds checking when copying data."",
        ""line_content"": ""memcpy(data, source, 100*sizeof(TwoIntsClass));""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s03/CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_class_memcpy_65b.cpp::bad,1,134,[],1.0,190.0,[27],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 190,
        ""message"": ""Potential buffer overflow due to insufficient bounds checking when copying data."",
        ""line_content"": ""memcpy(data, source, 100*sizeof(TwoIntsClass));""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE253_Incorrect_Check_of_Function_Return_Value/CWE253_Incorrect_Check_of_Function_Return_Value__wchar_t_fscanf_15.c::good,0,78,[],0.0,,[],"```json
[]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE253_Incorrect_Check_of_Function_Return_Value/CWE253_Incorrect_Check_of_Function_Return_Value__wchar_t_fscanf_15.c::bad,1,78,[],1.0,253.0,[27],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 253,
        ""message"": ""Incorrect check of function return value. The return value of fwscanf should be checked against EOF instead of 0."",
        ""line_content"": ""if (fwscanf(stdin, L\""%99s\\0\"", data) == 0)""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE426_Untrusted_Search_Path/CWE426_Untrusted_Search_Path__char_popen_33.cpp::good,0,190,[],1.0,78.0,"[27, 31]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 78,
        ""message"": ""The use of 'cmd.exe' or 'ls' without specifying the full path can lead to untrusted search path vulnerabilities."",
        ""line_content"": ""#define BAD_OS_COMMAND \""cmd.exe /c dir\""""
    },
    {
        ""severity"": ""High"",
        ""line"": 31,
        ""cwe"": 78,
        ""message"": ""The use of 'cmd.exe' or 'ls' without specifying the full path can lead to untrusted search path vulnerabilities."",
        ""line_content"": ""#define BAD_OS_COMMAND \""ls -la\""""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE426_Untrusted_Search_Path/CWE426_Untrusted_Search_Path__char_popen_33.cpp::bad,1,190,[],1.0,78.0,"[27, 34]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 78,
        ""message"": ""The full path is not specified in the OS command, which can lead to untrusted search path vulnerabilities."",
        ""line_content"": ""strcpy(data, BAD_OS_COMMAND);""
    },
    {
        ""severity"": ""High"",
        ""line"": 34,
        ""cwe"": 78,
        ""message"": ""The full path is not specified in the OS command, which can lead to untrusted search path vulnerabilities."",
        ""line_content"": ""pipe = POPEN(data, \""wb\"");""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_loop_66a.c::good,0,125,[],1.0,122.0,[27],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 122,
        ""message"": ""Heap-based buffer overflow due to insufficient allocation for the string."",
        ""line_content"": ""char *data = (char *)malloc(10);""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_loop_66a.c::bad,1,125,[],1.0,190.0,[27],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 190,
        ""message"": ""Memory allocation size is incorrect; it should be 11 to accommodate the 10 characters plus the null terminator."",
        ""line_content"": ""data = (char *)malloc(10*sizeof(char));""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE590_Free_Memory_Not_on_Heap/s02/CWE590_Free_Memory_Not_on_Heap__delete_class_declare_67a.cpp::good,0,89,[],1.0,590.0,[18],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 18,
        ""cwe"": 590,
        ""message"": ""Memory allocated on the stack is being freed with 'delete'. This can lead to undefined behavior."",
        ""line_content"": ""TwoIntsClass * structFirst;""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE590_Free_Memory_Not_on_Heap/s02/CWE590_Free_Memory_Not_on_Heap__delete_class_declare_67a.cpp::bad,1,89,[],1.0,590.0,[28],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 28,
        ""cwe"": 590,
        ""message"": ""Memory allocated on the stack is being freed."",
        ""line_content"": ""data = &dataBuffer;""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE129_large_18.c::good,0,125,[],0.0,,[],"```json
[]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE129_large_18.c::bad,1,125,[],1.0,122.0,"[26, 27]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to improper bounds checking."",
        ""line_content"": ""if (data >= 0)""
    },
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to improper bounds checking."",
        ""line_content"": ""buffer[data] = 1;""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s03/CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_int_memcpy_18.cpp::good,0,134,[],0.0,,[],"```json
[]
```"
